# KepID, RA (deg), Dec (deg), Teff, Rs, Ms, FeH, Kp, period, period_unc, Ksini, Ksini_unc, T_0_ellip (BJD), T_0_refl (BJD), A_refl, A_ellip, phase_offsets, SNR, probability
2706947,290.0103795,37.92576,6771,1.29,1.15,-0.44,13.7,2.5762,0.0018,150,144,2456423.956,2456424.276,48,3.9,0.124,0.7,0.986
2708787,290.4489405,37.98871,4243,0.63,0.62,-0.12,15.1,1.8296,0.0008,326,188,2456423.177,2456423.266,49.6,6,0.048,0.3,0.989
3217078,285.78048,38.34582,4780,0.77,0.75,0.14,15.7,1.853,0.0008,389,200,2456423.703,2456423.99,50.7,9.2,0.155,0.24,0.986
3347307,292.7323695,38.44221,5955,0.91,1,-0.16,14.6,1.8329,0.0008,251,248,2456425.179,2456425.039,31.5,5.7,-0.076,0.3,0.994
3964318,294.08643,39.04128,4544,0.64,0.71,-0.08,14.1,1.7412,0.0007,133,108,2456424.157,2456424.298,28,2.3,0.081,0.32,0.982
4753174,293.6412495,39.8735,6592,1.19,1.21,-0.12,14.3,1.685,0.0008,55,63,2456424.284,2456424.244,47.4,2.2,-0.024,0.6,0.984
4914087,288.88971,40.08975,5505,0.88,0.83,-0.18,15,2.2909,0.0017,496,372,2456424.271,2456424.068,22.8,9.8,-0.089,0.21,0.986
4940092,295.96131,40.07133,6888,1.56,1.36,-0.16,13.9,1.7459,0.0006,101,101,2456423.183,2456422.843,44.5,7,-0.195,0.6,0.983
5001685,288.89331,40.11083,5713,1.01,1.01,0.18,14,2.2906,0.0014,221,108,2456424.198,2456424.058,15.1,4.8,-0.061,0.26,0.992
5036530,297.87741,40.12078,6333,1.52,1.34,0.26,13.9,2.734,0.0024,160,89,2456423.089,2456422.86,46.1,5.5,-0.084,0.63,0.985
5354490,289.3419495,40.56099,5638,0.97,1,0.21,14.7,2.6102,0.0016,130,112,2456425.248,2456425.502,47.1,2.1,0.097,0.52,0.994
5435675,287.57367,40.67331,6032,0.97,1.05,-0.06,15.5,1.5229,0.0006,45,85,2456424.451,2456424.99,29.5,1.6,-0.146,0.2,0.989
